benchmark,workers,execution time (s),padding,read percentage,writes,reads,write throughput (ops/s),read throughput (ops/s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
pr-array,8,60,100000,80,630603,2597595,10510,43293.2,0.419729,0,0,0.021988
pr-array,8,60,100000,80,637756,2561194,10629.3,42686.6,0.42394,0,0,0.020872
pr-array,8,60,100000,80,640639,2562586,10677.3,42709.8,0.425041,0,0,0.020439
pr-array,8,60,100000,80,638925,2582855,10648.8,43047.6,0.422371,0,0,0.021136
pr-array,8,60,100000,80,639131,2557792,10652.2,42629.9,0.418897,0,0,0.022086
pr-array,8,60,100000,85,524627,3191126,8743.78,53185.4,0.340019,0,0,0.020251
pr-array,8,60,100000,85,530270,3096290,8837.83,51604.8,0.346914,0,0,0.021212
pr-array,8,60,100000,85,533477,3048322,8891.28,50805.4,0.349229,0,0,0.021785
pr-array,8,60,100000,85,537880,3150124,8964.67,52502.1,0.341147,0,0,0.02131
pr-array,8,60,100000,85,536014,3126178,8933.57,52103,0.344736,0,0,0.020898
pr-array,8,60,100000,90,404169,3799392,6736.15,63323.2,0.252436,0,0,0.020025
pr-array,8,60,100000,90,415452,3771816,6924.2,62863.6,0.257442,0,0,0.019809
pr-array,8,60,100000,90,401664,3781569,6694.4,63026.2,0.252478,0,0,0.020556
pr-array,8,60,100000,90,409815,3787464,6830.25,63124.4,0.254369,0,0,0.020281
pr-array,8,60,100000,90,414223,3775819,6903.72,62930.3,0.256992,0,0,0.019993
pr-array,8,60,100000,95,239953,4590505,3999.22,76508.4,0.144431,0,0,0.021061
pr-array,8,60,100000,95,217335,4611109,3622.25,76851.8,0.134156,0,0,0.021068
pr-array,8,60,100000,95,241992,4601732,4033.2,76695.5,0.144503,0,0,0.019564
pr-array,8,60,100000,95,230705,4632717,3845.08,77211.9,0.139984,0,0,0.020061
pr-array,8,60,100000,95,230937,4591205,3848.95,76520.1,0.141687,0,0,0.020301
pr-array,8,60,100000,100,0,5683081,0,94718,0,0,0,0.019214
pr-array,8,60,100000,100,0,5673399,0,94556.6,0,0,0,0.019418
pr-array,8,60,100000,100,0,5693716,0,94895.3,0,0,0,0.019549
pr-array,8,60,100000,100,0,5706037,0,95100.6,0,0,0,0.01909
pr-array,8,60,100000,100,0,5665448,0,94424.1,0,0,0,0.019043
